TANGGAL,T_AVG,RH,RR,FF_AVG,Kejadian Banjir
24-02-2024,"29,2",79,0,2,0
25-02-2024,"27,7",83,"2,2",2,0
26-02-2024,29,79,"9,6",2,0
27-02-2024,"29,7",77,0,1,0
28-02-2024,29,81,,2,0
29-02-2024,"28,8",81,"1,4",2,0
01-03-2024,"28,6",83,"1,5",2,1
02-03-2024,"27,7",85,"11,2",2,0
03-03-2024,"27,9",87,"15,3",1,0
04-03-2024,"28,9",82,"10,9",2,0
05-03-2024,"29,4",82,"1,6",1,0
06-03-2024,"28,9",83,"0,2",1,0
07-03-2024,"29,5",81,0,2,0
08-03-2024,"29,1",80,0,2,0
09-03-2024,"26,4",88,"0,8",2,0
10-03-2024,28,83,"3,6",1,0
11-03-2024,"29,2",76,0,2,0
12-03-2024,"29,6",73,0,2,0
13-03-2024,"28,8",80,"0,9",1,0
14-03-2024,"27,2",88,"3,1",1,0
15-03-2024,"27,7",83,10,2,0
16-03-2024,"28,5",78,"5,6",2,0
17-03-2024,"28,8",74,0,2,0
18-03-2024,29,72,,2,0
19-03-2024,"28,9",74,0,2,0
20-03-2024,"29,1",76,0,2,0
21-03-2024,"29,4",77,0,2,0
22-03-2024,"28,7",82,"3,5",2,0
23-03-2024,"28,8",82,61,2,0
24-03-2024,29,81,"1,1",1,0
25-03-2024,"28,7",82,"3,2",1,0
26-03-2024,"28,2",83,8888,2,0
27-03-2024,"28,6",79,"35,2",1,0
28-03-2024,"27,8",84,"3,3",1,0
29-03-2024,"29,4",80,"0,8",2,0
30-03-2024,"29,1",81,26,3,0
31-03-2024,"28,8",80,24,2,0
01-04-2024,"28,1",84,"6,4",2,0
02-04-2024,"28,4",85,"11,3",2,0
03-04-2024,"29,2",82,"34,5",2,2
04-04-2024,"29,2",82,"1,5",1,0
05-04-2024,"29,9",78,40,1,0
06-04-2024,"29,2",78,"0,2",1,0
07-04-2024,"29,7",78,,1,0
08-04-2024,"29,6",80,"0,2",1,0
09-04-2024,"26,5",92,"67,5",0,0
10-04-2024,"27,9",85,"7,9",2,0
11-04-2024,"28,7",84,"32,3",2,0
12-04-2024,"29,2",83,"0,8",2,0
13-04-2024,"28,8",81,"6,5",2,0
14-04-2024,"27,6",87,"46,1",1,0
15-04-2024,"29,2",80,"0,5",2,0
16-04-2024,"29,6",81,"13,3",3,0
17-04-2024,"29,2",81,"1,6",3,0
18-04-2024,"28,2",84,"6,2",2,0
19-04-2024,"28,8",82,"3,9",2,0
20-04-2024,"28,3",84,,1,0
21-04-2024,"28,3",84,0,2,0
22-04-2024,"29,2",83,8888,2,0
23-04-2024,"27,9",88,"1,5",2,0
24-04-2024,29,83,5,2,0
25-04-2024,"28,2",87,,1,0
26-04-2024,"27,6",86,0,1,0
27-04-2024,28,87,"11,2",1,0
28-04-2024,"29,1",84,"5,8",2,0
29-04-2024,29,82,0,3,0
30-04-2024,"28,6",82,0,3,0
01-05-2024,"28,4",84,"6,2",3,0
02-05-2024,"28,6",83,0,3,0
03-05-2024,"28,5",82,0,3,0
04-05-2024,"27,5",82,,2,0
05-05-2024,"27,3",79,0,2,0
06-05-2024,"27,2",81,0,2,0
07-05-2024,"27,9",83,,2,0
08-05-2024,"28,4",82,"1,4",2,0
09-05-2024,"28,1",83,0,3,0
10-05-2024,"27,9",85,0,3,0
11-05-2024,"28,1",84,0,3,0
12-05-2024,"27,8",85,0,2,0
13-05-2024,"27,9",83,,2,0
14-05-2024,"27,8",82,0,2,0
15-05-2024,"27,7",83,0,3,0
16-05-2024,"27,8",82,0,2,0
17-05-2024,"28,1",82,0,2,0
18-05-2024,"28,1",82,0,3,0
19-05-2024,"27,9",79,,4,0
20-05-2024,"27,8",80,,3,0
21-05-2024,"27,4",82,,3,0
22-05-2024,"27,5",82,,2,0
23-05-2024,"27,7",83,0,2,0
24-05-2024,"27,6",84,,2,0
25-05-2024,"27,9",84,8888,2,0
26-05-2024,28,82,0,3,0
27-05-2024,28,83,0,2,0
28-05-2024,"28,1",84,,2,0
29-05-2024,"28,5",81,,1,0
30-05-2024,"28,4",80,0,2,0
31-05-2024,"28,4",82,0,2,0
01-06-2024,"28,8",82,,3,0
02-06-2024,28,86,,2,0
03-06-2024,"28,6",80,"10,9",3,0
04-06-2024,"28,3",79,0,2,0
05-06-2024,"28,2",79,8888,2,0
06-06-2024,"28,3",79,,2,0
07-06-2024,"27,8",82,18,2,0
08-06-2024,"28,3",79,"0,2",3,0
09-06-2024,"28,4",82,2,2,0
10-06-2024,"28,6",82,6,3,0
11-06-2024,"28,6",82,"7,5",3,0
12-06-2024,"27,9",82,"0,4",2,0
13-06-2024,"28,3",78,8888,2,0
14-06-2024,"28,8",80,0,1,0
15-06-2024,"28,1",85,,1,0
16-06-2024,28,79,"5,4",2,0
17-06-2024,"28,3",82,0,2,0
18-06-2024,"28,1",82,"120,4",3,0
19-06-2024,"27,7",76,8888,3,0
20-06-2024,28,75,"1,4",3,0
21-06-2024,"27,6",77,0,2,0
22-06-2024,"27,5",77,,2,0
23-06-2024,"27,8",79,,4,0
24-06-2024,"26,8",85,"3,5",4,0
25-06-2024,"27,6",83,"28,4",2,0
26-06-2024,"28,2",83,"9,3",3,0
27-06-2024,"28,1",86,"0,4",2,0
28-06-2024,"28,4",84,"33,5",3,0
29-06-2024,28,84,0,3,0
30-06-2024,"28,1",81,15,2,0
01-07-2024,"28,1",79,"0,5",2,0
02-07-2024,"27,7",84,"59,1",3,0
03-07-2024,"28,4",81,"8,1",4,0
04-07-2024,"26,9",85,"3,6",4,0
05-07-2024,"27,6",82,"6,7",4,0
06-07-2024,"27,5",84,8888,2,0
07-07-2024,28,83,1,3,0
08-07-2024,,,,3,0
09-07-2024,"26,3",82,0,2,0
10-07-2024,"27,1",84,0,3,0
11-07-2024,"27,1",78,0,3,0
12-07-2024,"26,4",79,"2,2",3,0
13-07-2024,"26,6",79,0,3,0
14-07-2024,"25,9",73,8888,3,0
15-07-2024,"25,4",79,0,2,0
16-07-2024,"25,9",75,0,3,0
17-07-2024,"26,6",81,8888,3,0
18-07-2024,"27,2",81,0,3,0
19-07-2024,"26,7",79,0,4,0
20-07-2024,"26,9",75,0,3,0
21-07-2024,"25,8",80,0,2,0
22-07-2024,"25,5",81,0,2,0
23-07-2024,"25,6",85,0,2,0
24-07-2024,"26,1",86,0,2,0
25-07-2024,"26,2",82,0,2,0
26-07-2024,"25,7",83,"0,1",3,0
27-07-2024,"26,8",81,"9,4",4,0
28-07-2024,"26,9",79,0,3,0
29-07-2024,"25,9",82,0,3,0
30-07-2024,"26,5",83,0,3,0
31-07-2024,"26,8",81,0,3,0
01-08-2024,"26,8",85,1,2,0
02-08-2024,"26,5",89,"4,9",2,0
03-08-2024,"27,4",84,"16,2",2,0
04-08-2024,"26,8",85,"2,1",2,0
05-08-2024,"25,9",79,0,2,0
06-08-2024,26,83,1,3,0
07-08-2024,"25,5",88,0,3,0
08-08-2024,"26,3",89,"0,2",3,0
09-08-2024,"26,2",87,0,4,0
