TANGGAL,T_AVG,RH,RR,RR_rolling3,RR_rolling5,risk_level,banjir_biner,KejadianBanjir,delay_factor
2024-03-01,28.6,83.0,1.5,3.6,13.2,1,1,1,1.0
2024-03-02,27.7,85.0,11.2,14.099999999999998,14.799999999999995,1,0,0,1.0
2024-03-03,27.9,87.0,15.3,28.0,30.1,2,0,0,1.2
2024-03-04,28.9,82.0,10.9,37.4,40.3,2,0,0,1.2
2024-03-05,29.4,82.0,1.6,27.8,40.5,2,0,0,1.2
2024-03-06,28.9,83.0,0.2,12.7,39.2,2,0,0,1.2
2024-03-07,29.5,81.0,0.0,1.7999999999999985,28.0,2,0,0,1.2
2024-03-08,29.1,80.0,0.0,0.1999999999999982,12.7,1,0,0,1.0
2024-03-09,26.4,88.0,0.8,0.7999999999999983,2.5999999999999983,1,0,0,1.0
2024-03-10,28.0,83.0,3.6,4.399999999999999,4.599999999999998,1,0,0,1.0
2024-03-11,29.2,76.0,0.0,4.399999999999999,4.399999999999999,1,0,0,1.0
2024-03-12,29.6,73.0,0.0,3.5999999999999983,4.399999999999999,1,0,0,1.0
2024-03-13,28.8,80.0,0.9,0.8999999999999978,5.299999999999998,1,0,0,1.0
2024-03-14,27.2,88.0,3.1,3.999999999999998,7.599999999999998,1,0,0,1.0
2024-03-15,27.7,83.0,10.0,13.999999999999998,13.999999999999998,1,0,0,1.0
2024-03-16,28.5,78.0,5.6,18.7,19.6,1,0,0,1.0
2024-03-17,28.8,74.0,0.0,15.599999999999998,19.6,1,0,0,1.0
2024-03-18,29.0,72.0,0.0,5.599999999999998,18.7,1,0,0,1.0
2024-03-19,28.9,74.0,0.0,0.0,15.599999999999998,1,0,0,1.0
2024-03-20,29.1,76.0,0.0,0.0,5.599999999999998,1,0,0,1.0
2024-03-21,29.4,77.0,0.0,0.0,0.0,1,0,0,1.0
2024-03-22,28.7,82.0,3.5,3.4999999999999982,3.4999999999999982,1,0,0,1.0
2024-03-23,28.8,82.0,61.0,64.5,64.5,3,0,0,1.5
2024-03-24,29.0,81.0,1.1,65.6,65.6,3,0,0,1.5
2024-03-25,28.7,82.0,3.2,65.3,68.8,3,0,0,1.5
2024-03-26,28.2,83.0,0.0,4.300000000000001,68.8,2,0,0,1.2
2024-03-27,28.6,79.0,35.2,38.400000000000006,100.5,3,0,0,1.5
2024-03-28,27.8,84.0,3.3,38.5,42.8,2,0,0,1.2
2024-03-29,29.4,80.0,0.8,39.3,42.5,2,0,0,1.2
2024-03-30,29.1,81.0,26.0,30.1,65.30000000000001,2,0,0,1.2
2024-03-31,28.8,80.0,24.0,50.8,89.30000000000001,3,0,0,1.5
2024-04-01,28.1,84.0,6.4,56.400000000000006,60.5,3,0,0,1.5
2024-04-02,28.4,85.0,11.3,41.7,68.5,2,0,0,1.2
2024-04-03,29.2,82.0,34.5,52.2,102.20000000000002,3,1,2,1.5
2024-04-04,29.2,82.0,1.5,47.3,77.70000000000002,3,0,0,1.5
2024-04-05,29.9,78.0,40.0,76.0,93.7,3,0,0,1.5
2024-04-06,29.2,78.0,0.2,41.7,87.5,2,0,0,1.2
2024-04-07,29.7,78.0,0.2,40.4,76.4,2,0,0,1.2
2024-04-08,29.6,80.0,0.2,0.6000000000000001,42.1,2,0,0,1.2
2024-04-09,26.5,92.0,67.5,67.9,108.1,3,0,0,1.5
2024-04-10,27.9,85.0,7.9,75.60000000000001,76.0,3,0,0,1.5
