adm4,nama,provinsi,kotkab,kecamatan,desa,lat,lon,timezone,status
33.01.01.2001,Tambakreja,Jawa Tengah,Cilacap,Kedungreja,Tambakreja,-7.5477428257,108.7750717175,+0700,ok
33.01.01.2002,Bumireja,Jawa Tengah,Cilacap,Kedungreja,Bumireja,-7.5421909836,108.7934806986,+0700,ok
33.01.01.2003,Ciklapa,Jawa Tengah,Cilacap,Kedungreja,Ciklapa,-7.5031259351,108.7998658422,+0700,ok
33.01.01.2004,Kedungreja,Jawa Tengah,Cilacap,Kedungreja,Kedungreja,-7.519433861,108.7699722399,+0700,ok
33.01.01.2005,Tambaksari,Jawa Tengah,Cilacap,Kedungreja,Tambaksari,-7.509031751,108.7473084365,+0700,ok
33.01.01.2006,Rejamulya,Jawa Tengah,Cilacap,Kedungreja,Rejamulya,-7.4858372823,108.7377600642,+0700,ok
33.01.01.2007,Sidanegara,Jawa Tengah,Cilacap,Kedungreja,Sidanegara,-7.5440491216,108.7544945836,+0700,ok
33.01.01.2008,Kaliwungu,Jawa Tengah,Cilacap,Kedungreja,Kaliwungu,-7.5593010991,108.8043983749,+0700,ok
33.01.01.2009,Jatisari,Jawa Tengah,Cilacap,Kedungreja,Jatisari,-7.5205780751,108.7987164094,+0700,ok
33.01.01.2010,Bangunreja,Jawa Tengah,Cilacap,Kedungreja,Bangunreja,-7.4963372388,108.7736280049,+0700,ok
33.01.01.2011,Bojongsari,Jawa Tengah,Cilacap,Kedungreja,Bojongsari,-7.4613374716,108.7265452702,+0700,ok
33.01.02.2001,Menganti,Jawa Tengah,Cilacap,Kesugihan,Menganti,-7.6731051959,109.0720889654,+0700,ok
33.01.02.2002,Slarang,Jawa Tengah,Cilacap,Kesugihan,Slarang,-7.6665160477,109.1058769017,+0700,ok
33.01.02.2003,Kesugihan,Jawa Tengah,Cilacap,Kesugihan,Kesugihan,-7.6115452205,109.1118095556,+0700,ok
33.01.02.2004,Kalisabuk,Jawa Tengah,Cilacap,Kesugihan,Kalisabuk,-7.6424949886,109.0990369427,+0700,ok
33.01.02.2005,Karangkandri,Jawa Tengah,Cilacap,Kesugihan,Karangkandri,-7.6755588142,109.0877018289,+0700,ok
33.01.02.2006,Kuripan,Jawa Tengah,Cilacap,Kesugihan,Kuripan,-7.6452236555,109.0815399167,+0700,ok
33.01.02.2007,Dondong,Jawa Tengah,Cilacap,Kesugihan,Dondong,-7.6161094763,109.0640823619,+0700,ok
33.01.02.2008,Planjan,Jawa Tengah,Cilacap,Kesugihan,Planjan,-7.6133275382,109.0760456145,+0700,ok
33.01.02.2009,Ciwuni,Jawa Tengah,Cilacap,Kesugihan,Ciwuni,-7.5903445007,109.077175114,+0700,ok
33.01.02.2010,Karangjengkol,Jawa Tengah,Cilacap,Kesugihan,Karangjengkol,-7.6000954087,109.0930638961,+0700,ok
33.01.02.2011,Keleng,Jawa Tengah,Cilacap,Kesugihan,Keleng,-7.5897570451,109.1057870954,+0700,ok
33.01.02.2012,Pesanggrahan,Jawa Tengah,Cilacap,Kesugihan,Pesanggrahan,-7.5902966474,109.1178236929,+0700,ok
33.01.02.2013,Bulupayung,Jawa Tengah,Cilacap,Kesugihan,Bulupayung,-7.5895074082,109.1336986213,+0700,ok
33.01.02.2014,Kuripan Kidul,Jawa Tengah,Cilacap,Kesugihan,Kuripan kidul,-7.654792849,109.0775331146,+0700,ok
33.01.02.2015,Jangrana,Jawa Tengah,Cilacap,Kesugihan,Jangrana,-7.6394874739,109.0602388336,+0700,ok
33.01.02.2016,Kesugihan Kidul,Jawa Tengah,Cilacap,Kesugihan,Kesugihan kidul,-7.6338429668,109.1150842416,+0700,ok
33.01.03.2001,Welahan Wetan,Jawa Tengah,Cilacap,Adipala,Welahan wetan,-7.6839900907,109.2296879941,+0700,ok
33.01.03.2002,Glempangpasir,Jawa Tengah,Cilacap,Adipala,Glempangpasir,-7.6817722857,109.2048051797,+0700,ok
33.01.03.2003,Pedasong,Jawa Tengah,Cilacap,Adipala,Pedasong,-7.6690301868,109.1925377977,+0700,ok
33.01.03.2004,Karangbenda,Jawa Tengah,Cilacap,Adipala,Karangbenda,-7.6803691556,109.1779574558,+0700,ok
33.01.03.2005,Karanganyar,Jawa Tengah,Cilacap,Adipala,Karanganyar,-7.6726999011,109.1624619349,+0700,ok
