desa_rawan,lat_rawan,lon_rawan,shelter,lat_shelter,lon_shelter,jarak_km_matrix,jarak_km,waktu_menit,jalur_ke,status
Desa Ujungmanik,-7.64409,108.951428,Balai Desa Ujungmanik,-7.644039491,108.9514281,0.0,,,,gagal_ors
Desa Karangkandri,-7.669839,109.0852,Balai Desa Karangkandri,-7.669975,109.084671,0.0,,,,gagal_ors
Desa Klumprit,-7.661907,109.35874,Balai Desa Klumprit,-7.661985721,109.3585673,0.01,0.009,0.01,1.0,ok_ors
Desa Panulisan Barat,-7.302995,108.573576,Balai Desa Panulisan Barat,-7.30311,108.573078,0.02,0.018,0.07,1.0,ok_ors
Desa Bulupayung,-7.57995,108.785915,Balai Desa Bulupayung,-7.579981845761614,108.7853295508966,0.02,0.021,0.08,1.0,ok_ors
Desa Tinggarjaya,-7.480452,108.766832,Balai Desa Tinggarjaya,-7.480595869,108.7669981,0.02,0.016,0.07,1.0,ok_ors
Desa Bojong,-7.608174,108.926794,Balai Desa Bojong,-7.608163551,108.9271265,0.02,0.022,0.02,1.0,ok_ors
Desa Padangjaya,-7.312664,108.785827,Balai Desa Padangjaya,-7.312561715923866,108.78564673693214,0.02,0.021,0.03,1.0,ok_ors
Desa Wlahar,-7.667687,109.13421,Balai Desa Wlahar,-7.667846,109.133921,0.03,0.029,0.12,1.0,ok_ors
Desa Bulaksari,-7.523689,108.888506,Balai Desa Bulaksari,-7.523812975,108.8887375,0.03,0.028,0.03,1.0,ok_ors
Desa Cimrutu,-7.619538,108.802522,Balai Desa Cimrutu,-7.619308542,108.8027201,0.03,0.033,0.07,1.0,ok_ors
Desa Bingkeng,-7.236414,108.592881,Balai Desa Bingkeng,-7.2371112160104465,108.59272960668014,0.03,0.028,0.03,1.0,ok_ors
Desa Grugu,-7.645244,108.912399,Balai Desa Grugu,-7.645197858,108.9126578,0.03,0.028,0.11,1.0,ok_ors
Desa Cilopadang,-7.303708,108.790659,Balai Desa Cilopadang,-7.304095476590585,108.7902956932206,0.04,0.036,0.12,1.0,ok_ors
Desa Kesugihan Kidul,-7.62259,109.121113,Balai Desa Kesugihan Kidul,-7.622897,109.120648,0.04,0.043,0.05,1.0,ok_ors
Desa Purwodadi,-7.600747,108.762061,Balai Desa Purwodadi,-7.600792841,108.7623893,0.04,0.04,0.16,1.0,ok_ors
Desa Sidasari,-7.384348,108.78069,Balai Desa Sidasari,-7.384284459,108.7801567,0.04,0.043,0.09,1.0,ok_ors
Desa Tegalsari,-7.485648,108.774499,Balai Desa Tegalsari,-7.485581773,108.7744421,0.05,0.049,0.19,1.0,ok_ors
Desa Cibalung,-7.320885,108.879411,Balai Desa Cibalung,-7.320312734352611,108.8786737778771,0.05,0.049,0.1,1.0,ok_ors
Desa Panisihan,-7.585351,109.158374,Balai Desa Penisihan,-7.585280064,109.1576929,0.05,0.053,0.04,1.0,ok_ors
Desa Mujur Lor,-7.599874,109.248844,Balai Desa Mujur Lor,-7.599457594,109.2480218,0.05,0.052,0.1,1.0,ok_ors
Desa Gunungreja,-7.479295,108.786157,Balai Desa Gunungreja,-7.479329968,108.7856679,0.05,0.054,0.21,1.0,ok_ors
Desa Ciklapa,-7.506692,108.810952,Balai Desa Ciklapa,-7.506522388,108.8105504,0.05,0.048,0.1,1.0,ok_ors
Desa Mandala,-7.357041,108.888654,Balai Desa Mandala,-7.356992217695421,108.88791346224504,0.05,0.051,0.06,1.0,ok_ors
Desa Jengrana,-7.639427,109.063432,Balai Desa Jangrana,-7.639157,109.063973,0.05,0.048,0.19,1.0,ok_ors
Desa Gentasari,-7.601644,109.219899,Balai Desa Gentasari,-7.601690492,109.2195852,0.07,0.067,0.1,1.0,ok_ors
Desa Kedungbenda,-7.66758,109.375326,Balai Desa Kedungbenda,-7.667346462,109.3745851,0.07,0.075,0.3,1.0,ok_ors
Desa Karangbenda,-7.672613,109.176723,Balai Desa Karangbenda,-7.672624198676923,109.17602077782053,0.07,0.071,0.07,1.0,ok_ors
Desa Dondong,-7.618474,109.067465,Balai Desa Dondong,-7.61863,109.066613,0.08,0.081,0.32,1.0,ok_ors
Kelurahan Donan,-7.714149,109.001532,Kelurahan Donan,-7.713436943,109.0009423,0.08,0.084,0.34,1.0,ok_ors
Desa Karangreja,-7.624115,109.147071,Balai Desa Karangreja,-7.624295,109.146347,0.08,0.078,0.23,1.0,ok_ors
Desa Bulupayung,-7.596621,109.140066,Balai Desa Bulupayung,-7.596610409,109.1397925,0.08,0.078,0.23,1.0,ok_ors
Desa Pesanggrahan,-7.594099,109.115168,Balai Desa Pesanggrahan,-7.594238,109.114316,0.09,0.094,0.11,1.0,ok_ors
Desa Nusajati,-7.596982,109.200002,Balai Desa Nusajati,-7.597090701,109.1991133,0.09,0.094,0.34,1.0,ok_ors
Desa Banjareja,-7.686408,109.374383,Balai Desa Banjareja,-7.686421459,109.3734922,0.1,0.096,0.19,1.0,ok_ors
Desa Sampang,-7.566318,109.201228,Balai Desa Sampang,-7.56620612,109.2003484,0.1,0.1,0.4,1.0,ok_ors
Kelurahan Tegalkamulyan,-7.721294,109.023384,Kelurahan Tegalkamulyan,-7.721081813,109.0226969,0.11,0.107,0.43,1.0,ok_ors
Desa Kalijeruk,-7.579115,108.936851,Balai Desa Kalijeruk,-7.578984,108.936294,0.11,0.107,0.14,1.0,ok_ors
Desa Mentasan,-7.58261,108.958872,Balai Desa Mentasan,-7.582681,108.957987,0.11,0.11,0.11,1.0,ok_ors
Desa Sindangsari,-7.300775,108.767969,Balai Desa Sindangsari,-7.300439235287598,108.76743410896202,0.11,0.115,0.46,1.0,ok_ors
Desa Cilibang,-7.578392,109.019556,Balai Desa Cilibang,-7.578631,109.018484,0.12,0.117,0.08,1.0,ok_ors
Desa Bantarpanjang,-7.360889,108.856803,Balai Desa Bantarpanjang,-7.359637040358087,108.85627253527534,0.12,0.118,0.08,1.0,ok_ors
Desa Cilempuyang,-7.342686,108.834565,Balai Desa Cilempuyang,-7.342702844266789,108.83395417973034,0.13,0.134,0.49,1.0,ok_ors
Desa Panimbang,-7.366119,108.868323,Balai Desa Panimbang,-7.367549798741719,108.86583925009202,0.13,0.125,0.5,1.0,ok_ors
Desa Penggalang,-7.653371,109.138309,Balai Desa Penggalang,-7.653467,109.137016,0.13,0.134,0.44,1.0,ok_ors
Desa Babakan,-7.66247,108.933569,Balai Desa Babakan,-7.662701,108.932634,0.15,0.148,0.59,1.0,ok_ors
Desa Mekarsari,-7.400061,108.745623,Balai Desa Mekarsari,-7.400022668,108.7449833,0.15,0.154,0.31,1.0,ok_ors
Desa Nusawungu,-7.648797,109.345277,Balai Desa Nusawungu,-7.64816393,109.3441551,0.15,0.147,0.32,1.0,ok_ors
Desa Kuripan Kidul,-7.65873,109.081864,Balai Desa Kuripan Kidul,-7.6589,109.080926,0.15,0.151,0.53,1.0,ok_ors
Desa Brebeg,-7.626715,109.001461,Balai Desa Brebeg,-7.626279898675562,109.00042486088437,0.15,0.148,0.59,1.0,ok_ors
Desa Slarang,-7.659267,109.113899,Balai Desa Slarang,-7.659593,109.113482,0.15,0.146,0.39,1.0,ok_ors
Desa Slarang,-7.659267,109.113899,Balai Desa Slarang,-7.659593,109.113482,0.15,0.243,0.49,2.0,ok_ors
Desa Nusawengkal,-7.669805,109.34463,Balai Desa Nusawangkal,-7.669997397,109.3432928,0.15,0.153,0.54,1.0,ok_ors
Desa Paberasan,-7.588874,109.231656,Balai Desa Paberasan,-7.588606145,109.2306704,0.16,0.162,0.29,1.0,ok_ors
Kelurahan Cilacap,-7.738098,109.014295,Kelurahan Cilacap,-7.737956464,109.0136191,0.16,0.163,0.36,1.0,ok_ors
Desa Sikampuh,-7.623398,109.197936,Balai Desa Sikampuh,-7.623278803,109.1969554,0.16,0.159,0.4,1.0,ok_ors
Desa Sidamukti,-7.609299,108.754052,Balai Desa Sidamukti,-7.609405948,108.7556989,0.16,0.163,0.46,1.0,ok_ors
Desa Sidamukti,-7.609299,108.754052,Balai Desa Sidamukti,-7.609405948,108.7556989,0.16,0.263,0.62,2.0,ok_ors
Desa Ciwuni,-7.604209,109.083059,Balai Desa Ciwuni,-7.604368,109.082218,0.16,0.161,0.65,1.0,ok_ors
Desa Madura,-7.331412,108.644776,Balai Desa Madura,-7.330648739856452,108.6440463888098,0.19,0.195,0.57,1.0,ok_ors
Desa Madura,-7.331412,108.644776,Balai Desa Madura,-7.330648739856452,108.6440463888098,0.19,0.278,0.61,2.0,ok_ors
Desa Bulupayung,-7.596621,109.140066,Balai Desa Bulupayung,-7.596761,109.138803,0.19,0.185,0.45,1.0,ok_ors
Desa Mujur,-7.612107,109.253601,Balai Desa Mujur,-7.612273016,109.2523055,0.19,0.192,0.41,1.0,ok_ors
Desa Adipala,-7.659838,109.156697,Balai Desa Adipala,-7.660199,109.155491,0.2,0.203,0.43,1.0,ok_ors
Desa Keleng,-7.59519,109.111505,Balai Desa Keleng,-7.595349,109.11045,0.2,0.196,0.4,1.0,ok_ors
Kelurahan Sidanegara,-7.711614,109.019484,Kelurahan Sidanegara,-7.711789036,109.0185056,0.22,0.215,0.86,1.0,ok_ors
Desa Karangjengkol,-7.602037,109.091578,Balai Desa Karangjengkol,-7.602219,109.090462,0.22,0.219,0.51,1.0,ok_ors
Kelurahan Tambakreja,-7.728396,109.004494,SMA Al-Irsyad Cilacap,-7.7273491,109.0044836,0.22,0.221,0.55,1.0,ok_ors
Kelurahan Kutawaru,-7.697561,108.990425,Kelurahan Kutawaru,-7.695870966,108.9896321,0.23,0.226,0.91,1.0,ok_ors
